"År";"Olje- og gassutvinning";"Industri og bergverk";"Energiforsyning";"Oppvarming i andre næringer oghusholdninger";"Veitrafikk";"Luftfart, sjøfart, fiske,motorredskaper m.m.¹";" Jordbruk";"Andre kilder²"
"1990";"8,25";"19,14";"0,34";"2,76";"7,43";"5,3";"5,05";"3,08"
"1991";"8,13";"17,62";"0,4";"2,49";"7,31";"5,11";"4,98";"2,95"
"1992";"8,73";"15,38";"0,39";"2,28";"7,34";"5,46";"4,96";"2,92"
"1993";"9,26";"16,33";"0,41";"2,31";"7,51";"5,66";"4,94";"2,97"
"1994";"10,05";"17,28";"0,47";"2,33";"7,41";"5,86";"4,94";"3"
"1995";"10,24";"16,56";"0,47";"2,37";"7,53";"6,55";"4,99";"3,04"
"1996";"11,14";"17,17";"0,56";"2,91";"7,9";"6,96";"5,02";"2,99"
"1997";"11,64";"16,85";"0,49";"2,47";"7,89";"7,25";"4,96";"3,07"
"1998";"11,31";"17,17";"0,54";"2,24";"8,12";"7,46";"4,95";"2,91"
"1999";"11,83";"16,96";"0,52";"2,48";"8,54";"7,53";"4,95";"2,89"
"2000";"13,17";"16,82";"0,49";"1,93";"8,37";"6,5";"4,8";"3,01"
"2001";"14,14";"16,3";"0,54";"2,15";"8,87";"6,59";"4,74";"3,01"
"2002";"13,81";"15,22";"0,58";"2,34";"8,95";"6,55";"4,73";"2,86"
"2003";"13,94";"15,08";"0,72";"2,74";"9,09";"6,47";"4,81";"2,81"
"2004";"14,17";"15,34";"0,61";"2,35";"9,38";"6,58";"4,77";"2,82"
"2005";"14,11";"14,88";"0,59";"1,86";"9,52";"6,43";"4,79";"2,72"
"2006";"13,71";"14,48";"0,65";"1,96";"9,8";"6,79";"4,7";"2,79"
"2007";"15,17";"14,16";"0,95";"1,75";"10,03";"7,01";"4,7";"2,79"
"2008";"14,81";"13,72";"0,8";"1,57";"9,89";"6,79";"4,68";"2,77"
"2009";"13,68";"11,23";"2,02";"1,71";"9,74";"6,74";"4,64";"2,79"
"2010";"13,79";"12,03";"2,45";"2,01";"9,99";"7,2";"4,55";"2,84"
"2011";"13,47";"12,03";"2,24";"1,47";"9,92";"7,29";"4,55";"2,87"
"2012";"13,58";"11,74";"1,72";"1,34";"9,96";"7,49";"4,56";"2,86"
"2013";"13,54";"11,78";"1,77";"1,28";"10,01";"7,61";"4,61";"2,89"
"2014";"14,23";"11,44";"1,77";"1,05";"10,22";"7,65";"4,71";"2,81"
"2015";"14,77";"11,72";"1,77";"0,95";"10,26";"7,47";"4,77";"2,72"
"2016";"14,47";"11,39";"1,75";"1,05";"9,99";"7,4";"4,82";"2,67"
"2017";"14,21";"11,8";"1,91";"0,92";"9,12";"7,51";"4,79";"2,59"
"2018";"14,06";"11,82";"1,9";"0,8";"9,37";"7,75";"4,8";"2,5"
"2019";"13,89";"11,37";"1,79";"0,6";"8,73";"7,69";"4,75";"2,4"
"2020";"13,16";"11,25";"1,73";"0,52";"8,35";"7,38";"4,76";"2,34"
"2021";"12,12";"11,64";"1,76";"0,55";"8,71";"7,44";"4,82";"2,29"
"2022";"12,09";"11,51";"1,49";"0,57";"8,7";"7,67";"4,71";"2,24"
"2023";"11,56";"10,81";"1,24";"0,64";"8,02";"7,64";"4,52";"2,23"